BZW,BLIZZARD WARNING
CFA,COASTAL FLOOD WATCH
CFW,COASTAL FLOOD WARNING
DSW,DUST STORM WARNING
FFA,FLASH FLOOD WATCH
FFW,FLASH FLOOD WARNING
FFS,FLASH FLOOD STATEMENT
FLA,FLOOD WATCH
FLW,FLOOD WARNING
FLS,FLOOD STATEMENT
HWA,HIGH WIND WATCH
HWW,HIGH WIND WARNING
HUA,HURRICANE WATCH
HUW,HURRICANE WARNING
HLS,HURRICANE STATEMENT
SVA,SEVERE THUNDERSTORM WATCH
SVR,SEVERE THUNDERSTORM WARNING
SVS,SEVERE WEATHER STATEMENT
SMW,SPECIAL MARINE WARNING
SPS,SPECIAL WEATHER STATEMENT
TOA,TORNADO WATCH
TOR,TORNADO WARNING
TRA,TROPICAL STORM WATCH
TRW,TROPICAL STORM WARNING
TSA,TSUNAMI WATCH
TSW,TSUNAMI WARNING
WSA,WINTER STORM WATCH
WSW,WINTER STORM WARNING
EAN,EMERGENCY ACTION NOTIFICATION
EAT,EMERGENCY ACTION TERMINATION
NIC,NATIONAL INFORMATION CENTER
NPT,NATIONAL PERIODIC TEST
RMT,REQUIRED MONTHLY TEST
RWT,REQUIRED WEEKLY TEST
ADR,ADMINISTRATIVE MESSAGE
AVA,AVALANCHE WATCH
AVW,AVALANCHE WARNING
BHW,BIOLOGICAL HAZARD WARNING
BWW,BOIL WATER WARNING
CAE,CHILD ABDUCTION EMERGENCY
CDW,CIVIL DANGER WARNING
CEM,CIVIL EMERGENCY MESSAGE
CWW,CONATAMINATED WATER WARNING
DBA,DAM BREAK WATCH
DBW,DAM BREAK WARNING
DEW,CONTAGIOUS DISEASE WARNING
EQW,EARTHQUAKE WARNING
EVA,EVACUATION WATCH
EVI,EVACUATION IMMEDIATE
FCW,FOOD CONTAMINATION WARNING
FRW,FIRE WARNING
FSW,FLASH FREEZE WARNING
FZW,FREEZE WARNING
HMW,HAZARDOUS MATERIALS WARNING
IBW,ICEBERG WARNING
IFW,INDUSTRIAL FIRE WARNING
LEW,LAW ENFORCEMENT WARNING
LAE,LOCAL AREA EMERGENCY
LSW,LAND SLIDE WARNING
NAT,NATIONAL AUDIBLE TEST
NST,NATIONAL SILENT TEST
TOE,911 TELEPHONE OUTAGE EMERGENCY
NUW,NUCLEAR POWER PLANT WARNING
POS,POWER OUTAGE STATEMENT
RHW,RADIOLOGICAL HAZARD WARNING
SPW,SHELTER IN PLACE WARNING
VOW,VOLCANO WARNING
WFA,WILD FIRE WATCH
WFW,WILD FIRE WARNING
NMN,NETWORK MESSAGE NOTIFICATION
DMO,PRACTICE/DEMO WARNING
